aid,app_id
p,platform
ctstamp,collector_tstamp
dtm,dvce_tstamp
e,event
evn,event_vendor
eid,event_id
tid,txn_id
tna,name_tracker
tv,v_tracker
,v_collector
,v_etl
uid,user_id
uip,user_ipaddress
fp,user_fingerprint
,domain_userid
,domain_sessionidx
,network_userid
,geo_country
,geo_region
,geo_city
,geo_zipcode
,geo_latitude
,geo_longitude
url,page_url
page,page_title
refr,page_referrer
,page_urlscheme
,page_urlhost
,page_urlport
,page_urlpath
,page_urlquery
,page_urlfragment
,refr_urlscheme
,refr_urlhost
,refr_urlport
,refr_urlpath
,refr_urlquery
,refr_urlfragment
,refr_medium
,refr_source
,refr_term
,mkt_medium
,mkt_source
,mkt_term
,mkt_content
,mkt_campaign
cx,contexts
se_ca,se_category
se_ac,se_action
se_la,se_label
se_pr,se_property
se_va,se_value
ue_na,ue_name
ue_px,ue_properties
tr_id,tr_orderid
tr_af,tr_affiliation
tr_tt,tr_total
tr_tx,tr_tax
tr_sh,tr_shipping
tr_ci,tr_city
tr_st,tr_state
tr_co,tr_country
ti_id,ti_orderid
ti_sk,ti_sku
ti_nm,ti_name
ti_ca,ti_category
ti_pr,ti_price
ti_qu,ti_quantity
,pp_xoffset_min
,pp_xoffset_max
,pp_yoffset_min
,pp_yoffset_max
,useragent
,br_name
,br_family
,br_version
,br_type
,br_renderengine
,br_lang
f_pdf,br_features_pdf
f_fla,br_features_flash
f_java,br_features_java
f_dir,br_features_director
f_qt,br_features_quicktime
,br_features_realplayer
f_wma,br_features_windowsmedia
f_gears,br_features_gears
f_ag,br_features_silverlight
cookie,br_cookies
cd,br_colordepth
,br_viewwidth
,br_viewheight
,os_name
,os_family
,os_manufacturer
tz,os_timezone
,dvce_type
,dvce_ismobile
res,dvce_screenwidth
,dvce_screenheight
,doc_charset
,doc_width
,doc_height
