Level,Date,Time,EventID,TaskCategory,Info
Information, 5/22/2014, 9:41:31 AM, 7036, None, The Application Experience service entered the running state.
Information, 5/22/2014, 9:38:21 AM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/22/2014, 9:34:40 AM, 7036, None, The Application Management service entered the running state.
Information, 5/22/2014, 9:32:01 AM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/22/2014, 9:30:32 AM, 7036, None, The Windows Error Reporting Service service entered the stopped state.
Information, 5/22/2014, 9:28:32 AM, 7036, None, The Windows Error Reporting Service service entered the running state.
Information, 5/22/2014, 9:21:16 AM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/22/2014, 9:21:14 AM, 7036, None, The Application Experience service entered the running state.
Information, 5/22/2014, 9:14:04 AM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/22/2014, 9:12:02 AM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/22/2014, 9:12:01 AM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/22/2014, 9:10:42 AM, 7036, None, The Windows Modules Installer service entered the stopped state.
Information, 5/22/2014, 9:10:42 AM, 7040, None, The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information, 5/22/2014, 9:10:41 AM, 7040, None, The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information, 5/22/2014, 9:07:42 AM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/22/2014, 8:58:48 AM, 7036, None, The Windows Modules Installer service entered the running state.
Information, 5/22/2014, 8:55:30 AM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/22/2014, 8:51:43 AM, 7036, None, The Application Experience service entered the running state.
Information, 5/22/2014, 8:48:57 AM, 7036, None, The Google Update Service (gupdate) service entered the stopped state.
Information, 5/22/2014, 8:48:51 AM, 7036, None, The Google Update Service (gupdate) service entered the running state.
Information, 5/22/2014, 8:48:46 AM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/22/2014, 8:48:45 AM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/22/2014, 8:48:44 AM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/22/2014, 8:48:35 AM, 7036, None, The DNS Client service entered the running state.
Information, 5/22/2014, 8:48:35 AM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎22T05:49:27.664954100Z
